Simulation started at: 2015-11-03 12:05:18
Input file: ydata-fp-td-clicks-v2_0.20111002-08.txt
Policy: eAnnealingContextual
Policy,Input File,Evaluations,CTR,Cumulative Runtime (s)
eAnnealingContextual,y,100,0.02,4.257
eAnnealingContextual,y,200,0.045,7.352
eAnnealingContextual,y,300,0.0366666666667,10.489
eAnnealingContextual,y,400,0.045,13.606
eAnnealingContextual,y,500,0.042,16.448
eAnnealingContextual,y,600,0.0416666666667,19.318
eAnnealingContextual,y,700,0.0428571428571,22.069
eAnnealingContextual,y,800,0.04375,25.265
eAnnealingContextual,y,900,0.0477777777778,28.33
eAnnealingContextual,y,1000,0.045,31.144
eAnnealingContextual,y,1100,0.0436363636364,33.779
eAnnealingContextual,y,1200,0.0433333333333,36.383
eAnnealingContextual,y,1300,0.0430769230769,39.459
eAnnealingContextual,y,1400,0.0414285714286,42.29
eAnnealingContextual,y,1500,0.0393333333333,44.48
eAnnealingContextual,y,1600,0.04,47.567
eAnnealingContextual,y,1700,0.0394117647059,50.314
eAnnealingContextual,y,1800,0.04,53.431
eAnnealingContextual,y,1900,0.0405263157895,55.891
eAnnealingContextual,y,2000,0.041,60.778
eAnnealingContextual,y,2100,0.0404761904762,62.879
eAnnealingContextual,y,2200,0.04,65.182
eAnnealingContextual,y,2300,0.0413043478261,67.63
eAnnealingContextual,y,2400,0.0425,70.027
eAnnealingContextual,y,2500,0.0436,72.457
eAnnealingContextual,y,2600,0.0426923076923,74.77
eAnnealingContextual,y,2700,0.0437037037037,76.982
eAnnealingContextual,y,2800,0.0442857142857,79.281
eAnnealingContextual,y,2900,0.0444827586207,81.161
eAnnealingContextual,y,3000,0.0436666666667,83.869
eAnnealingContextual,y,3100,0.0432258064516,86.555
eAnnealingContextual,y,3200,0.0425,89.104
eAnnealingContextual,y,3300,0.0421212121212,91.358
eAnnealingContextual,y,3400,0.0420588235294,93.616
eAnnealingContextual,y,3500,0.0414285714286,96.181
eAnnealingContextual,y,3600,0.0408333333333,98.069
eAnnealingContextual,y,3700,0.0410810810811,100.219
eAnnealingContextual,y,3800,0.0428947368421,102.875
eAnnealingContextual,y,3900,0.0423076923077,105.484
eAnnealingContextual,y,4000,0.04375,108.418
eAnnealingContextual,y,4100,0.0436585365854,111.038
eAnnealingContextual,y,4200,0.0440476190476,113.488
eAnnealingContextual,y,4300,0.0439534883721,115.837
eAnnealingContextual,y,4400,0.0438636363636,118.439
eAnnealingContextual,y,4500,0.0446666666667,121.032
eAnnealingContextual,y,4600,0.0458695652174,123.465
eAnnealingContextual,y,4700,0.0453191489362,126.369
eAnnealingContextual,y,4800,0.045,128.915
eAnnealingContextual,y,4900,0.0451020408163,131.705
eAnnealingContextual,y,5000,0.0448,134.376
eAnnealingContextual,y,5100,0.0443137254902,137.019
eAnnealingContextual,y,5200,0.0451923076923,139.855
eAnnealingContextual,y,5300,0.0449056603774,142.695
eAnnealingContextual,y,5400,0.0448148148148,145.048
eAnnealingContextual,y,5500,0.046,147.226
eAnnealingContextual,y,5600,0.0455357142857,149.829
eAnnealingContextual,y,5700,0.0452631578947,152.22
eAnnealingContextual,y,5800,0.0448275862069,154.261
eAnnealingContextual,y,5900,0.0452542372881,157.038
eAnnealingContextual,y,6000,0.0455,159.615
eAnnealingContextual,y,6100,0.0454098360656,161.952
eAnnealingContextual,y,6200,0.0459677419355,164.26
eAnnealingContextual,y,6300,0.0460317460317,166.476
eAnnealingContextual,y,6400,0.04625,168.708
eAnnealingContextual,y,6500,0.0456923076923,170.925
eAnnealingContextual,y,6600,0.0459090909091,173.375
eAnnealingContextual,y,6700,0.0455223880597,175.721
eAnnealingContextual,y,6800,0.0458823529412,177.926
eAnnealingContextual,y,6900,0.0457971014493,180.017
eAnnealingContextual,y,7000,0.0457142857143,182.159
eAnnealingContextual,y,7100,0.0456338028169,184.446
eAnnealingContextual,y,7200,0.0458333333333,186.439
eAnnealingContextual,y,7300,0.046301369863,188.437
eAnnealingContextual,y,7400,0.0464864864865,190.525
eAnnealingContextual,y,7500,0.0462666666667,192.505
eAnnealingContextual,y,7600,0.0465789473684,194.307
eAnnealingContextual,y,7700,0.0466233766234,196.515
eAnnealingContextual,y,7800,0.0465384615385,198.369
eAnnealingContextual,y,7900,0.0464556962025,200.477
eAnnealingContextual,y,8000,0.0465,202.65
eAnnealingContextual,y,8100,0.0467901234568,204.491
eAnnealingContextual,y,8200,0.0471951219512,206.572
eAnnealingContextual,y,8300,0.0475903614458,208.475
eAnnealingContextual,y,8400,0.0475,210.646
eAnnealingContextual,y,8500,0.0469411764706,212.389
eAnnealingContextual,y,8600,0.0470930232558,214.787
eAnnealingContextual,y,8700,0.0471264367816,216.749
eAnnealingContextual,y,8800,0.0469318181818,218.774
eAnnealingContextual,y,8900,0.0470786516854,220.829
eAnnealingContextual,y,9000,0.0467777777778,222.589
eAnnealingContextual,y,9100,0.047032967033,224.473
eAnnealingContextual,y,9200,0.0478260869565,226.628
eAnnealingContextual,y,9300,0.0479569892473,228.633
eAnnealingContextual,y,9400,0.0478723404255,230.363
eAnnealingContextual,y,9500,0.0477894736842,232.474
eAnnealingContextual,y,9600,0.0480208333333,234.393
eAnnealingContextual,y,9700,0.0482474226804,236.6
eAnnealingContextual,y,9800,0.0483673469388,238.571
eAnnealingContextual,y,9900,0.0486868686869,240.51
eAnnealingContextual,y,10000,0.0488,242.797
eAnnealingContextual,y,10100,0.0488118811881,244.905
eAnnealingContextual,y,10200,0.0489215686275,247.079
eAnnealingContextual,y,10300,0.0491262135922,248.987
eAnnealingContextual,y,10400,0.0492307692308,251.046
eAnnealingContextual,y,10500,0.0494285714286,253.072
eAnnealingContextual,y,10600,0.05,255.139
eAnnealingContextual,y,10700,0.05,257.608
eAnnealingContextual,y,10800,0.0501851851852,259.554
eAnnealingContextual,y,10900,0.0503669724771,261.407
eAnnealingContextual,y,11000,0.0502727272727,263.563
eAnnealingContextual,y,11100,0.0501801801802,265.49
eAnnealingContextual,y,11200,0.0501785714286,267.598
eAnnealingContextual,y,11300,0.0500884955752,269.813
eAnnealingContextual,y,11400,0.0499122807018,271.985
eAnnealingContextual,y,11500,0.0499130434783,274.067
eAnnealingContextual,y,11600,0.0498275862069,276.535
eAnnealingContextual,y,11700,0.0498290598291,278.792
eAnnealingContextual,y,11800,0.0499152542373,281.191
eAnnealingContextual,y,11900,0.0497478991597,283.188
eAnnealingContextual,y,12000,0.0495833333333,285.441
eAnnealingContextual,y,12100,0.0497520661157,287.852
eAnnealingContextual,y,12200,0.0498360655738,290.158
eAnnealingContextual,y,12300,0.049756097561,292.381
eAnnealingContextual,y,12400,0.049435483871,294.568
eAnnealingContextual,y,12500,0.0496,296.817
eAnnealingContextual,y,12600,0.0493650793651,298.891
eAnnealingContextual,y,12700,0.0493700787402,301.216
eAnnealingContextual,y,12800,0.049296875,303.617
eAnnealingContextual,y,12900,0.0493023255814,305.735
eAnnealingContextual,y,13000,0.0494615384615,308.291
eAnnealingContextual,y,13100,0.0496183206107,311.038
eAnnealingContextual,y,13200,0.049696969697,313.63
eAnnealingContextual,y,13300,0.0496240601504,316.199
eAnnealingContextual,y,13400,0.0497014925373,318.601
eAnnealingContextual,y,13500,0.0496296296296,321.026
eAnnealingContextual,y,13600,0.0497058823529,323.238
eAnnealingContextual,y,13700,0.0497810218978,325.344
eAnnealingContextual,y,13800,0.0497101449275,327.575
eAnnealingContextual,y,13900,0.0497122302158,329.915
eAnnealingContextual,y,14000,0.0499285714286,332.47
eAnnealingContextual,y,14100,0.0499290780142,334.774
eAnnealingContextual,y,14200,0.0497887323944,337.325
eAnnealingContextual,y,14300,0.0495804195804,339.646
eAnnealingContextual,y,14400,0.0496527777778,342.387
eAnnealingContextual,y,14500,0.0495172413793,344.748
eAnnealingContextual,y,14600,0.0493150684932,346.509
eAnnealingContextual,y,14700,0.0492517006803,349.156
eAnnealingContextual,y,14800,0.0493918918919,351.534
eAnnealingContextual,y,14900,0.0495302013423,353.976
eAnnealingContextual,y,15000,0.0497333333333,356.642
eAnnealingContextual,y,15100,0.0495364238411,359.253
eAnnealingContextual,y,15200,0.0495394736842,362.293
eAnnealingContextual,y,15300,0.0496078431373,364.721
eAnnealingContextual,y,15400,0.0496103896104,367.303
eAnnealingContextual,y,15500,0.0495483870968,369.916
eAnnealingContextual,y,15600,0.0495512820513,372.495
eAnnealingContextual,y,15700,0.0495541401274,375.766
eAnnealingContextual,y,15800,0.0494936708861,378.408
eAnnealingContextual,y,15900,0.0495597484277,380.92
eAnnealingContextual,y,16000,0.0495,383.339
eAnnealingContextual,y,16100,0.0495652173913,386.136
eAnnealingContextual,y,16200,0.0493209876543,388.741
eAnnealingContextual,y,16300,0.049509202454,391.498
eAnnealingContextual,y,16400,0.0494512195122,394.487
eAnnealingContextual,y,16500,0.0493333333333,396.951
eAnnealingContextual,y,16600,0.0492168674699,399.784
eAnnealingContextual,y,16700,0.0492814371257,402.648
eAnnealingContextual,y,16800,0.0492857142857,405.074
eAnnealingContextual,y,16900,0.0490532544379,407.744
eAnnealingContextual,y,17000,0.049,410.289
eAnnealingContextual,y,17100,0.0488888888889,412.766
eAnnealingContextual,y,17200,0.049011627907,415.459
eAnnealingContextual,y,17300,0.0491329479769,418.129
eAnnealingContextual,y,17400,0.0491954022989,420.76
eAnnealingContextual,y,17500,0.0490857142857,423.432
eAnnealingContextual,y,17600,0.0489772727273,426.416
eAnnealingContextual,y,17700,0.048813559322,428.49
eAnnealingContextual,y,17800,0.0486516853933,430.903
eAnnealingContextual,y,17900,0.0486033519553,433.862
eAnnealingContextual,y,18000,0.0487222222222,436.101
eAnnealingContextual,y,18100,0.048729281768,438.688
eAnnealingContextual,y,18200,0.0487362637363,441.561
eAnnealingContextual,y,18300,0.0486338797814,443.752
eAnnealingContextual,y,18400,0.0485326086957,446.168
eAnnealingContextual,y,18500,0.0484324324324,448.611
eAnnealingContextual,y,18600,0.0482795698925,450.787
eAnnealingContextual,y,18700,0.0481818181818,453.595
eAnnealingContextual,y,18800,0.0479787234043,455.378
eAnnealingContextual,y,18900,0.0478835978836,457.847
eAnnealingContextual,y,19000,0.0477368421053,460.226
eAnnealingContextual,y,19100,0.0478534031414,462.776
eAnnealingContextual,y,19200,0.0478645833333,465.501
eAnnealingContextual,y,19300,0.0477202072539,468.091
eAnnealingContextual,y,19400,0.0476804123711,470.529
eAnnealingContextual,y,19500,0.0475897435897,472.703
eAnnealingContextual,y,19600,0.0475,475.252
eAnnealingContextual,y,19700,0.0473604060914,477.334
eAnnealingContextual,y,19800,0.0472727272727,479.678
eAnnealingContextual,y,19900,0.0471859296482,482.066
eAnnealingContextual,y,20000,0.047,484.436
eAnnealingContextual,y,20100,0.0469651741294,487.07
eAnnealingContextual,y,20200,0.0468316831683,489.713
eAnnealingContextual,y,20300,0.0468472906404,492.156
eAnnealingContextual,y,20400,0.0467156862745,494.579
eAnnealingContextual,y,20500,0.0465853658537,496.979
eAnnealingContextual,y,20600,0.0464563106796,499.492
eAnnealingContextual,y,20700,0.0464251207729,501.981
eAnnealingContextual,y,20800,0.0463942307692,504.477
