t,EnsembleRandomUpdateAll,Naive3,EnsembleEAnnealingUpdateAll,UCB1,Softmax0.1,Random,eAnnealing,EXP30.5,eGreedy0.1,
100,,,0.01,0.05,0.01,0.01,0.0,0.0,0.01,
200,,,0.015,0.05,0.025,0.015,0.01,0.015,0.02,
300,,,0.0166666666667,0.0533333333333,0.02,0.01,0.0233333333333,0.02,0.0233333333333,
400,,,0.0225,0.05,0.0175,0.0075,0.0225,0.0175,0.025,
500,,,0.02,0.046,0.018,0.01,0.026,0.014,0.02,
600,,,0.0183333333333,0.04,0.015,0.0183333333333,0.0216666666667,0.015,0.0216666666667,
700,,,0.0242857142857,0.0371428571429,0.0157142857143,0.02,0.02,0.0242857142857,0.0285714285714,
800,,,0.02625,0.04,0.01375,0.0225,0.02125,0.02375,0.03,
900,,,0.0255555555556,0.0377777777778,0.0144444444444,0.0222222222222,0.0222222222222,0.0222222222222,0.0344444444444,
1000,,,0.025,0.036,0.013,0.022,0.026,0.023,0.034,
1100,,,0.0281818181818,0.0363636363636,0.0145454545455,0.0209090909091,0.0254545454545,0.0227272727273,0.0327272727273,
1200,,,0.0283333333333,0.0383333333333,0.0141666666667,0.0225,0.0266666666667,0.0233333333333,0.0341666666667,
1300,,,0.0284615384615,0.0376923076923,0.0138461538462,0.0230769230769,0.0269230769231,0.0223076923077,0.0338461538462,
1400,,,0.0278571428571,0.0414285714286,0.0135714285714,0.0228571428571,0.0271428571429,0.0235714285714,0.0335714285714,
1500,,,0.0286666666667,0.0406666666667,0.0146666666667,0.0226666666667,0.0273333333333,0.0253333333333,0.034,
1600,,,0.02875,0.04125,0.015,0.02375,0.02625,0.02625,0.034375,
1700,,,0.0288235294118,0.0394117647059,0.0158823529412,0.0247058823529,0.0264705882353,0.0270588235294,0.0341176470588,
1800,,,0.0294444444444,0.0383333333333,0.0155555555556,0.0238888888889,0.0283333333333,0.0277777777778,0.0322222222222,
1900,,,0.0305263157895,0.0368421052632,0.0163157894737,0.0236842105263,0.0278947368421,0.0278947368421,0.0305263157895,
2000,,,0.03,0.036,0.0165,0.025,0.03,0.029,0.03,
2100,,,0.0304761904762,0.0347619047619,0.0157142857143,0.0252380952381,0.0309523809524,0.0295238095238,0.032380952381,
2200,,,0.0290909090909,0.0359090909091,0.0163636363636,0.0259090909091,0.0322727272727,0.0290909090909,0.0322727272727,
2300,,,0.03,0.035652173913,0.015652173913,0.0260869565217,0.0339130434783,0.0291304347826,0.0330434782609,
2400,,,0.0308333333333,0.035,0.0154166666667,0.0258333333333,0.03375,0.0283333333333,0.0345833333333,
2500,,,0.0316,0.0364,0.0156,0.0268,0.0352,0.0276,0.0344,
2600,,,0.0323076923077,0.0369230769231,0.0157692307692,0.0280769230769,0.035,0.0276923076923,0.0346153846154,
2700,,,0.0318518518519,0.0377777777778,0.0159259259259,0.0277777777778,0.0344444444444,0.0285185185185,0.0348148148148,
