Simulation started at: 2015-02-07 16:27:08
Input file: sampleData.txt
Policy: Random Policy
Lines Evaluations Clicks CTR 
500 8 8 1.0
1000 20 17 0.85
1500 30 20 0.666666666667
2000 42 27 0.642857142857
2500 52 31 0.596153846154
3000 60 36 0.6
3500 68 44 0.647058823529
4000 79 47 0.594936708861
4500 91 53 0.582417582418
5000 103 58 0.563106796117
5500 114 64 0.561403508772
6000 125 72 0.576
6500 133 73 0.548872180451
7000 143 80 0.559440559441
7500 150 83 0.553333333333
8000 154 87 0.564935064935
Simulation started at: 2015-02-07 16:27:10
Input file: sampleData.txt
Policy: Random Policy
Lines Evaluations Clicks CTR 
500 5 2 0.4
1000 19 9 0.473684210526
1500 29 14 0.48275862069
2000 36 19 0.527777777778
2500 41 21 0.512195121951
3000 50 28 0.56
3500 57 31 0.543859649123
4000 73 37 0.506849315068
4500 80 42 0.525
5000 92 46 0.5
5500 108 55 0.509259259259
6000 123 63 0.512195121951
6500 136 67 0.492647058824
7000 151 74 0.490066225166
7500 162 77 0.475308641975
Simulation started at: 2015-02-13 12:39:33
Input file: sampleData.txt
Policy: Softmax
Lines Evaluations Clicks CTR 
500 13 1 0.0769230769231
1000 24 1 0.0416666666667
1500 33 1 0.030303030303
2000 41 2 0.0487804878049
2500 55 3 0.0545454545455
3000 67 3 0.044776119403
3500 81 4 0.0493827160494
4000 90 4 0.0444444444444
4500 99 5 0.0505050505051
5000 108 6 0.0555555555556
5500 114 6 0.0526315789474
6000 124 6 0.0483870967742
6500 136 9 0.0661764705882
7000 143 10 0.0699300699301
7500 151 10 0.0662251655629
8000 162 11 0.0679012345679
8500 172 11 0.0639534883721
9000 177 11 0.0621468926554
9500 186 11 0.0591397849462
10000 195 11 0.0564102564103
10500 206 12 0.0582524271845
11000 216 13 0.0601851851852
11500 225 13 0.0577777777778
12000 234 13 0.0555555555556
12500 241 13 0.0539419087137
13000 252 13 0.0515873015873
13500 262 13 0.0496183206107
14000 273 13 0.047619047619
14500 284 14 0.0492957746479
15000 295 14 0.0474576271186
15500 303 14 0.046204620462
16000 314 14 0.0445859872611
16500 322 14 0.0434782608696
