t,Naive3,UCB1,Random,Softmax0.1,EnsembleEAnnealingUpdateAll,EnsembleRandomUpdateAll,EXP30.5,eAnnealing,eGreedy0.1,
100,0.0206155281,0.0000000000,0.0184515999,0.0214087210,0.0177835924,,0.0273861279,0.0187082869,0.0178699002,
200,0.0160260205,0.0000000000,0.0150384124,0.0167082814,0.0162852498,,0.0144337567,0.0125929875,0.0099666109,
300,0.0115678354,0.0000000013,0.0139038210,0.0148036532,0.0122675430,,0.0121289369,0.0112167203,0.0097182532,
400,0.0097361012,0.0000000000,0.0124162580,0.0143090880,0.0105454681,,0.0099655657,0.0102824689,0.0088093227,
500,0.0094671361,0.0000000000,0.0118565788,0.0139053946,0.0105489710,,0.0097693398,0.0079849859,0.0092072435,
600,0.0101889555,0.0000000000,0.0104464446,0.0142260195,0.0094121118,,0.0091858385,0.0090282479,0.0081830901,
700,0.0096978152,0.0000000000,0.0094377245,0.0140220914,0.0084827100,,0.0077818907,0.0083082616,0.0072571804,
800,0.0088467861,0.0000000000,0.0083327724,0.0137325647,0.0079375158,,0.0081786689,0.0073093832,0.0065847836,
900,0.0084429823,0.0000000000,0.0080978114,0.0140687612,0.0071860278,,0.0077970660,0.0070471662,0.0061503789,
1000,0.0074616799,0.0000000000,0.0076081940,0.0144950566,0.0066868741,,0.0076087669,0.0063250823,0.0055081757,
1100,0.0071050752,0.0000000012,0.0073000361,0.0133259621,0.0063655553,,0.0070265141,0.0056461303,0.0050515251,
1200,0.0070270641,0.0000000000,0.0063814803,0.0132048497,0.0059031420,,0.0065968567,0.0058269807,0.0051986020,
1300,0.0068873723,0.0000000000,0.0062215214,0.0134080991,0.0054473154,,0.0063538027,0.0055912724,0.0048953546,
1400,0.0070515594,0.0000000000,0.0062834661,0.0132169881,0.0053500422,,0.0059835375,0.0054223021,0.0044421834,
1500,0.0071443321,0.0000000000,0.0061458623,0.0126578917,0.0049774533,,0.0061532286,0.0052115257,0.0047253454,
1600,0.0069444410,0.0000000009,0.0056890583,0.0125787623,0.0048564088,,0.0056067993,0.0053703953,0.0045610728,
1700,0.0064616694,0.0000000000,0.0054843160,0.0126744801,0.0049663500,,0.0053084773,0.0052561822,0.0037982574,
1800,0.0064927151,0.0000000000,0.0052097505,0.0122725395,0.0047612205,,0.0050626731,0.0046963343,0.0040537794,
1900,0.0067536113,0.0000000012,0.0051265261,0.0117834806,0.0049324407,,0.0048740366,0.0046184023,0.0043706399,
2000,0.0063565583,0.0000000000,0.0049435661,0.0117766365,0.0048235491,,0.0051448194,0.0042941821,0.0041691326,
2100,0.0063293340,0.0000000007,0.0045456001,0.0120590635,0.0046804552,,0.0051505674,0.0039267673,0.0035181207,
2200,0.0064952833,0.0000000008,0.0047625099,0.0118130817,0.0049162468,,0.0050925998,0.0037078206,0.0034520525,
2300,0.0060886644,0.0000000000,0.0047298704,0.0118474073,0.0049273262,,0.0050293405,0.0037888504,0.0033478261,
2400,0.0060054952,0.0000000000,0.0049073684,0.0118796774,0.0049292858,,0.0054349052,0.0036453770,0.0031326758,
2500,0.0059870082,0.0000000008,0.0048608451,0.0117586847,0.0048090227,,0.0053157878,0.0034065036,0.0028800000,
2600,0.0060102641,0.0000000000,0.0047371752,0.0118547047,0.0048133161,,0.0050171304,0.0035797480,0.0029247633,
2700,0.0059576696,0.0000000000,0.0047510572,0.0117072584,0.0044668141,,0.0048408602,0.0033601800,0.0028805673,
2800,0.0057141741,0.0000000012,0.0044353900,0.0118238381,0.0045743814,,0.0047113988,0.0034135958,0.0029441369,
2900,0.0057503899,0.0000000000,0.0043024968,0.0118389410,0.0044712780,,0.0044281824,0.0033800726,0.0030312156,
3000,0.0058792479,0.0000000000,0.0041934626,0.0116004789,0.0043946028,,0.0045575741,0.0034093010,0.0028354894,
3100,0.0059945634,0.0000000012,0.0040051196,0.0113897313,0.0042127566,,0.0045557783,0.0034155487,0.0026945945,
3200,0.0056250868,0.0000000000,0.0039844198,0.0113350661,0.0039884365,,0.0043805025,0.0031512956,0.0026439667,
3300,0.0053361161,0.0000000005,0.0040274540,0.0112899971,0.0036956529,,0.0042504254,0.0030495349,0.0026644274,
3400,0.0051188865,0.0000000000,0.0039108375,0.0112581766,0.0036147382,,0.0042084525,0.0029906621,0.0025541991,
3500,0.0052376710,0.0000000000,0.0038608936,0.0109405070,0.0034509299,,0.0040810496,0.0029594539,0.0024169470,
3600,0.0055209105,0.0000000000,0.0037668898,0.0111139233,0.0035424614,,0.0040110765,0.0030636677,0.0026630473,
3700,0.0055018867,0.0000000000,0.0036403463,0.0110354256,0.0034622137,,0.0042597373,0.0028297611,0.0026385171,
3800,0.0055826701,0.0000000012,0.0035745388,0.0111010115,0.0033953031,,0.0042428039,0.0027921206,0.0026468853,
3900,0.0054622406,0.0000000000,0.0036608483,0.0110883231,0.0032775079,,0.0039522406,0.0026374966,0.0026464553,
4000,0.0055179631,0.0000000000,0.0035610203,0.0113465946,0.0032550643,,0.0038736557,0.0025927784,0.0025987577,
4100,0.0052519318,0.0000000000,0.0035221352,0.0112706241,0.0031644176,,0.0038033664,0.0025092334,0.0025947445,
4200,0.0050386451,0.0000000005,0.0035727348,0.0112985996,0.0032037015,,0.0038245734,0.0024271315,0.0025492874,
4300,0.0051662814,0.0000000000,0.0034279684,0.0112496780,0.0033299459,,0.0037280213,0.0022528151,0.0027141305,
4400,0.0052865871,0.0000000009,0.0033928049,0.0114083816,0.0034835502,,0.0036408117,0.0023284088,0.0027360339,
4500,0.0051938869,0.0000000011,0.0033754490,0.0115658928,0.0033187054,,0.0034339625,0.0024193323,0.0026907248,
4600,0.0050878081,0.0000000000,0.0033042158,0.0115840331,0.0033979538,,0.0035575873,0.0024587972,0.0026343246,
4700,0.0049164131,0.0000000011,0.0033191175,0.0116806702,0.0033322888,,0.0035924699,0.0023733341,0.0024892405,
4800,0.0047678302,0.0000000000,0.0032843761,0.0117243243,0.0032580299,,0.0035796978,0.0022330897,0.0024460912,
4900,0.0047153899,0.0000000000,0.0032693558,0.0116580579,0.0031823012,,0.0035200384,0.0021749460,0.0022823712,
5000,0.0047162838,0.0000000008,0.0031795210,0.0116210040,0.0032129663,,0.0033511590,0.0022450538,0.0023926833,
5100,0.0046535076,0.0000000000,0.0031491573,0.0115036226,0.0030357786,,0.0033503411,0.0021343747,0.0023116752,
5200,0.0044592584,0.0000000008,0.0031482487,0.0114340252,0.0029988132,,0.0033663369,0.0020216103,0.0022949703,
5300,0.0044787382,0.0000000012,0.0031052235,0.0114771689,0.0030194343,,0.0032717039,0.0020229782,0.0022835386,
